他感冒了。|He caught a cold.|tā gǎn mào le。
总统必须当众宣誓就职.|The President has to be sworn in publicly.|zǒng tǒng bì xū dāng zhòng xuān shì jiù zhí.
山的支脉一列山或丘的横岭|A spur of a mountain range or hills.|shān de zhī mài yī liè shān huò qiū de hèng lǐng
她掰下一块巧克力给我.|She broke off a piece of chocolate and gave it to me.|tā bāi xià yī kuài qiǎo kè lì jǐ wǒ.
角形角形，角的轮廓或棱角|Angular forms, outlines, or corners.|jué xíng jué xíng， jué de lún kuò huò léng jué
他倒了些汁液以防烤干。|He bastes juices to keep it moist during cooking.|tā dào le xiē zhī yè yǐ fáng kǎo gàn。
他倒了些汁液以防烤干。|He bastes juices to keep it moist during cooking.|tā dào le xiē zhī yè yǐ fáng kǎo gàn。
该舰队正在波罗的海演习.|The fleet is manoeuvring in the Baltic.|gāi jiàn duì zhèng zài bō luó de hǎi yǎn xí.
他用小提琴演奏了一首曲子。|He played a tune on the violin.|tā yòng xiǎo tí qín yǎn zòu le yī shǒu qǔ zi。
龙虾有八条腿两条爪子。|Lobster has eight legs and two long claws.|lóng xiā yǒu bā tiáo tuǐ liǎng tiáo zhuǎ zi。
一晚上我至多可挣250英镑.|At (the) most I might earn 250 a night.|yī wǎn shang wǒ zhì duō kě zhè2ng0 yīng bàng.
他追赶窃贼却未捉住.|He chased (after) the burglar but couldn't catch him.|tā zhuī gǎn qiè zéi què wèi zhuō zhù.
他的财产被他叔叔霸占了。|His property was seized on by his uncle.|tā de cái chǎn bèi tā shū shu bà zhàn le。
伪钞钱，尤其指伪造的钱币|Money, especially counterfeit money.|wěi chāo qián， yóu qí zhǐ wèi zào de qián bì
我们在院子里种了一些榆树。|We planted some elms in the yard.|wǒ men zài yuàn zi lǐ zhòng le yī xiē yú shù。
我按企图盗窃罪逮捕你.|I am placing you under arrest for attempted burglary.|wǒ àn qǐ tú dào qiè zuì dài bǔ nǐ.
齿隙两齿之间的间隙或空隙|A gap or space between two teeth.|chǐ xì liǎng chǐ zhī jiān de jiàn xì huò kòng xì
战士们攻击敌人的左翼。|The soldiers attacked the left flank of the enemy.|zhàn shì men gōng jī dí rén de zuǒ yì。
毛虫能变成蝴蝶或蛾子.|Caterpillars change into butterflies or moths.|máo chóng néng biàn chéng hú dié huò é zi.
那时绘画艺术非常不景气。|Painting was then at its lowest ebb.|nà shí huì huà yì shù fēi cháng bù jǐng qì。
锯原木这工作干起来浑身发热。|Sawing logs is warm work.|jù yuán mù zhè gōng zuò gàn qǐ lai hún shēn fā rè。
镀层有的地方已经磨掉了.|The plating is beginning to wear off in places.|dù céng yǒu de dì fang yǐ jīng mò diào le.
我生病时完全没有食欲.|When I was ill I completely lost my appetite.|wǒ shēng bìng shí wán quán méi yǒu shí yù.
在他家里一提政治就犯忌.|Any mention of politics is taboo in his house.|zài tā jiā lǐ yī tí zhèng zhì jiù fàn jì.
通道挖掘或探测而成的道路|A passage made by digging or probing.|tōng dào wá jué huò tàn cè ér chéng de dào lù
把沙司搅拌一下以免结块。|Stir the sauce to prevent it lumping.|bǎ shā sī jiǎo bàn yī xià yǐ miǎn jié kuài。
要洗的餐具都在洗涤糟里呢.|The washing-up had been left in the sink.|yào xǐ de cān jù dōu zài xǐ dí zāo lǐ ne.
地震之后紧跟着就是瘟疫。|Plague came in the wake of earthquake.|dì zhèn zhī hòu jǐn gēn zhe jiù shì wēn yì。
那篇长篇演说很郑重其事。|The harangue is very serious.|nà piān cháng piān yǎn shuō hěn zhèng zhòng qí shì。
这家商店也销售廉价珠宝。|The shop sells baubles as well.|zhè jiā shāng diàn yě xiāo shòu lián jià zhū bǎo。
他让电锯锯掉了一只胳膊。|He had his arm lopped off by an electric saw.|tā ràng diàn jù jù diào le yī zhǐ gē bo。
那洋娃娃的腰和颈可以转动.|The doll pivots at the waist and neck.|nà yáng wá wa de yāo huò jǐng kě yǐ zhuǎn dòng.
他把日记锁在上层抽屉里。|He locked his diary in the upper drawer.|tā bǎ rì jì suǒ zài shàng céng chōu ti lǐ。
她一贯奉行马克思主义路线。|She always takes a Marxist line.|tā yī guàn fèng xíng Mǎ kè sī zhǔ yì lù xiàn。
乌云是雨或雪将至的预兆。|Dark clouds are a sign of rain or snow.|wū yún shì yǔ huò xuě jiàng zhì de yù zhào。
我必须告诫你应谨防危险。|I must caution you against the danger.|wǒ bì xū gào jiè nǐ yìng jǐn fáng wēi xiǎn。
逆命题通过换位得到的命题|A proposition obtained by conversion.|nì mìng tí tōng guò huàn wèi dé dào de mìng tí
文德先生从来没有埋怨过。|Mr de Winter has never complained.|wén dé xiān sheng cóng lái méi yǒu mán yuàn guò。
他被控告挪用俱乐部基金.|He was accused of appropriating club funds.|tā bèi kòng gào nuó yòng jù yuè bù jī jīn.
池塘四周耸立着一圈树木。|A fringe of trees stood round the pool.|chí táng sì zhōu sǒng lì zhuó yī quān shù mù。
在软岩石上形成许多深槽.|Deep grooves channelled the soft rock.|zài ruǎn yán shí shàng xíng chéng xǔ duō shēn cáo.
歧视黑人仍是普遍现象.|Discrimination against Blacks is still common.|qí shì hēi rén réng shì pǔ biàn xiàn xiàng.
有些人希望恢复死刑.|Some people would like to see the death penalty come back.|yǒu xiē rén xī wàng huī fù sǐ xíng.
糖和淀粉在胃里被分解.|Sugar and starch are broken down in the stomach.|táng huò diàn fěn zài wèi lǐ bèi fēn jiě.
该瀑布上流有许多大麻哈鱼.|The falls upstream are full of salmon.|gāi pù bù shàng liú yǒu xǔ duō dà má hǎ yú.
他们得钻过狭窄的隧道.|They had to worm their way through the narrow tunnel.|tā men de zuàn guò xiá zhǎi de suì dào.
那计画遭到狼狈不堪的失败。|The plan was a miserable failure.|nà jì huà zāo dào láng bèi bù kān de shī bài。
收集古董突然盛行起来.|Suddenly, collecting antiques is all the fashion.|shōu jí gǔ dǒng tū rán shèng xíng qǐ lai.
那船逆著潮水缓慢地前进.|The boat made slow headway against the tide.|nà chuán nì著 cháo shuǐ huǎn màn de qián jìn.
老虎的踪迹仅依稀可见.|Only faint traces of the tiger's tracks could be seen.|lǎo hǔ de zōng jī jǐn yī xī kě jiàn.
现在要阴雨连绵下个不停了。|It is settling in to rain now.|xiàn zài yào yīn yǔ lián mián xià gè bù tíng le。
乐队奏乐欢迎演员登台.|The band played the performers onto the stage.|yuè duì zòu yuè huān yíng yǎn yuán dēng tái.
侦察员向目的地疾驰而去。|The scout spurred on to the destination.|zhēn chá yuán xiàng mù dì dì jí chí ér qù。
半真半假常是弥天大谎。|Half the truth is often a great lie.|bàn zhēn bàn jià cháng shì mí tiān dà huǎng。
除了天堂门，黄金皆可进。|Gold go in at any gate except heaven's.|chú le tiān táng mén， huáng jīn jiē kě jìn。
他见到尸体厌恶得止步不前.|He recoiled at the sight of the corpse.|tā xiàn dào shī tǐ yàn wù de zhǐ bù bù qián.
猫头鹰白天睡觉晚上工作。|Owls sleep by day and work at night.|māo tou yīng bái tiān shuì jiào wǎn shang gōng zuò。
请把那些杯子和碟子收拾好。|Please pick up those cups and saucers.|qǐng bǎ nà xiē bēi zi huò dié zi shōu shi hào。
我的头撞在低矮的门框上了.|I cracked my head on the low door-frame.|wǒ de tou zhuàng zài dī ǎi de mén kuàng shàng le.
那个流浪汉不得不乞求钱财。|The vagrant had to beg for money.|nèi gè liú làng hàn bù dé bù qǐ qiú qián cái。
兔子和狐狸在英国很常见。|Rabbits and foxes are common in Britain.|tù zi huò hú li zài Yīng guó hěn cháng jiàn。
在我苦恼的时候，她来安慰我。|She comforted me in my distress.|zài wǒ kǔ nǎo de shí hou， tā Lái ān wèi wǒ。
你要是赌赢这车就归你了。|If you win the bet, the car is yours for love.|nǐ yào shì dǔ yíng zhè jū jiù guī nǐ le。
俘获者捕获他人作为俘虏的人|One that takes another as a captive.|fú huò zhě bǔ huò tā rén zuò wéi fú lǔ de rén
打猎时他射下一只大大雁。|In the hunting he fetched down a wild goose.|dǎ liè shí tā shè xià yī zhǐ dà dà yàn。
他宣誓要为他的国家而战。|He took the oath to fight for his country.|tā xuān shì yào wèi tā de guó jiā ér zhàn。
这旅馆既不宽敞也不舒服.|The hotel is neither spacious nor comfortable.|zhè lu:3 guǎn jì bù kuān chang yě bù shū fu.
他非常懒惰，整天睡觉。|He is a very lazy person, sleeping all day.|tā fēi cháng lǎn duò， zhěng tiān shuì jiào。
我是在农场由姨妈抚养大的。|I was raised by my aunt on a farm.|wǒ shì zài nóng chǎng yóu yí mā fǔ yǎng dà de。
罗盘的指针永远指向北方.|A compass needle points (to the) north.|luó pán de zhǐ zhēn yǒng yuǎn zhǐ xiàng běi fāng.
他非常懒惰，整天睡觉。|He is a very lazy person, sleeping all day.|tā fēi cháng lǎn duò， zhěng tiān shuì jiào。
他在浴室的磅秤上称体重.|He weighed himself on the bathroom scales.|tā zài yù shì de bāng chèng shàng chèng tǐ zhòng.
他的肖像挂在壁炉的上方.|His portrait (was) hung above the fireplace.|tā de xiào xiàng guà zài bì lú de shàng fāng.
使用所附涂敷器涂用胶水.|Use the applicator provided to spread the glue.|shǐ yòng suǒ fù tú fū qì tú yòng jiāo shuǐ.
他们生活在一起十分融洽.|They live in perfect accord with each other.|tā men shēng huó zài yī qǐ shí fēn róng qià.
石头像雹子一样落在他们身上.|Stones hailed down on them.|shí tou xiàng bāo zi yí yàng luò zài tā men shēn shàng.
他用鞭子轻轻抽马.|He flicked the horse with his whip/flicked his whip at the horse.|tā yòng biān zǐ qīng qīng chōu mǎ.
那风筝在空中不断地旋转。|The kite circled round and round.|nà fēng zhēng zài kōng zhōng bù duàn de xuán zhuǎn。
旧车买卖的市场已趋饱和。|The market is saturated with the used cars.|jiù jū mǎi mài de shì chǎng yǐ qū bǎo hé。
白唇鹿在这个地区很罕见。|The white-lipped deer are rare in this area.|bái chún lù zài zhè gè dì qū hěn hǎn jiàn。
在他临终时我在身边侍候。|I ministered to him in his last hours.|zài tā lín zhōng shí wǒ zài shēn biān shì hòu。
松鼠储藏坚果以防冬天。|The squirrel hoards up nuts for the winter.|sōng shǔ chǔ cáng jiān guǒ yǐ fáng dōng tiān。
贫富不均可造成社会动荡.|Inequalities in wealth cause social unrest.|pín fù bù jūn kě zào chéng shè huì dòng dàng.
我们的供应厂商已迁往巴斯.|Our suppliers have removed to Bath.|wǒ men de gōng yìng chǎng shāng yǐ qiān wàng bā sī.
他不理会一切求援的呼吁。|He turned a deaf ear to all requests for help.|tā bù lǐ kuài yī qiè qiú yuán de hū yù。
我们随着导游参观了城堡。|We went on a guided tour round the castle.|wǒ men suí zhe dǎo yóu cān guān le chéng bǎo。
人性的弱点之一是懒惰。|One of the frailties of human nature is laziness.|rén xìng de ruò diǎn zhī yī shì lǎn duò。
慈善事业依靠自愿捐赠.|Charities rely on voluntary donations/contributions.|cí shàn shì yè yī kào zì yuàn juān zèng.
她将国家机密泄露给敌人了.|She gave away state secrets to the enemy.|tā jiàng guó jiā jī mì xiè lòu jǐ dí rén le.
池塘四周耸立着一圈树木。|A fringe of trees stood round the pool.|chí táng sì zhōu sǒng lì zhuó yī quān shù mù。
水声上述汹涌或起伏的声音|The sound of this rush or surge.|shuǐ shēng shàng shù xiōng yǒng huò qǐ fú de shēng yīn
她将国家机密泄露给敌人了.|She gave away state secrets to the enemy.|tā jiàng guó jiā jī mì xiè lòu jǐ dí rén le.
他不理会一切求援的呼吁。|He turned a deaf ear to all requests for help.|tā bù lǐ kuài yī qiè qiú yuán de hū yù。
他们用篱笆把院子围起来了。|They surrounded the yard with a palisade.|tā men yòng lí bā bǎ yuàn zi wéi qǐ lai le。
我这件外衣是用绸子做的衬里。|My coat is lined with silk.|wǒ zhè jiàn wài yī shì yòng chóu zi zuò de chèn lǐ。
总经理由董事会任命。|The president is appointed by the board of directors.|zǒng jīng lǐ yóu dǒng shì huì rèn mìng。
警方时时警戒终有所获。|Police's vigilance was eventually rewarded.|jǐng fāng shí shí jǐng jiè zhōng yǒu suǒ huò。
我向他表达了诚挚的问候。|I send my regards to him with earnestness.|wǒ xiàng tā biǎo dá le chéng zhì de wèn hòu。
马戏团主管把鞭子抽得很响.|The circus manager snapped his whip.|mǎ xì tuán zhǔ guǎn bǎ biān zǐ chōu de hěn xiǎng.
马戏团主管把鞭子抽得很响.|The circus manager snapped his whip.|mǎ xì tuán zhǔ guǎn bǎ biān zǐ chōu de hěn xiǎng.
鹿低下头去喝池塘里的水。|The deer lowered its head to drink from the pond.|lù dī xià tou qù hè chí táng lǐ de shuǐ。
该城堡控制著峡谷的入口.|The castle commanded the entrance to the valley.|gāi chéng bǎo kòng zhì著 xiá gǔ de rù kǒu.
她控告某报刊登诽谤性文字。|She sued a newspaper for libel.|tā kòng gào mǒu bào kān dēng fěi bàng xìng wén zì。
你若固执, 他们就更恼火了.|If you persist, you will annoy them even more.|nǐ ruò gù zhí,  tā men jiù gèng nǎo huǒ le.
这次袭击成功, 拿下了堡垒.|The attack succeeded,and the fort was taken.|zhè cì xí jī chéng gōng,  ná xià le bǎo lěi.
你若固执, 他们就更恼火了.|If you persist, you will annoy them even more.|nǐ ruò gù zhí,  tā men jiù gèng nǎo huǒ le.
登一则招聘广告，也许有用。|Insert a want ad, and it may help.|dēng yī zé zhāo pìn guǎng gào， yě xǔ yǒu yòng。
他这样粗野，我真想揍他。|I'd a good mind to smack him for being so rude!|tā zhè yàng cū yě， wǒ zhēn xiǎng zòu tā。
空运货物费用十分昂贵。|The transport of goods by air is very expensive.|kōng yùn huò wù fèi yòng shí fēn áng guì。
他为我演奏了他的许多乐曲。|He played many of his compositions for me.|tā wèi wǒ yǎn zòu le tā de xǔ duō yuè qǔ。
因停电所有的灯都熄灭了.|There was a power cut and all the lights went out.|yīn tíng diàn suǒ yǒu de dēng dōu xī miè le.
请把那些杯子和碟子收拾好。|Please pick up those cups and saucers.|qǐng bǎ nà xiē bēi zi huò dié zi shōu shi hào。
他因非法贩卖枪支而被捕。|He is arrested for the illegal sale of gun.|tā yīn fēi fǎ fàn mài qiāng zhī ér bèi bǔ。
演员们向鼓掌的观众鞠躬.|The cast bowed as the audience applauded.|yǎn yuán men xiàng gǔ zhǎng de guān zhòng jū gōng.
活动住房用汽车拖拽的住所|A trailer or dwelling place on wheels.|huó dòng zhù fáng yòng qì chē tuō zhuài de zhù suǒ
他的侄子是一个粗野的年轻人。|His nephew is an uncouth young man.|tā de zhí zi shì yī gè cū yě de nián qīng rén。
他并未喝醉，而是茫然出神。|He wasn't drunk, he was goofing off.|tā bìng wèi hè zuì， ér shì máng rán chū shén。
我们的一名特工已叛变投敌.|One of our spies has defected to the enemy.|wǒ men de yī míng tè gōng yǐ pàn biàn tóu dí.
这是一本关于古罗马历史的书。|Here is a book about Roman history.|zhè shì yī běn guān yú gǔ Luó mǎ lì shǐ de shū。
那鸟在冰上啄出了一个洞.|The bird picked a hole in the ice with its beak.|nà niǎo zài bīng shàng zhuó chū le yī gè dòng.
她娇弱的身体需要小心照料。|Her delicate health needs great care.|tā jiāo ruò de shēn tǐ xū yào xiǎo xīn zhào liào。
漂泊数年后，他定居了下来。|He settled down after years of roaming.|piāo bó shuò nián hòu， tā dìng jū le xia lai。
治疗背痛的唯一办法是休息。|The only way to cure backache is to rest.|zhì liáo bèi tòng de wéi yī bàn fǎ shì xiū xi。
洞穴的最深处有只狗熊。|There is a bear in the inmost recesses of the cave.|dòng xuè de zuì shēn chù yǒu zhǐ gǒu xióng。
洞穴的最深处有只狗熊。|There is a bear in the inmost recesses of the cave.|dòng xuè de zuì shēn chù yǒu zhǐ gǒu xióng。
他跌倒了，膝盖重重撞了一下。|He fell and banged his knee.|tā diē dào le， xī gài chóng chóng zhuàng le yī xià。
蚂蚁的社会结构非常有趣。|The social order of ants is very interesting.|mǎ yǐ de shè huì jié gòu fēi cháng yǒu qù。
我们需要再次补充煤的储备。|We need to replenish our stocks of coal.|wǒ men xū yào zài cì bǔ chōng méi de chǔ bèi。
那个家族拥有一座气派的大厦。|The family owns a lordly mansion.|nèi gè jiā zú yōng yǒu yī zuò qì pài de dà shà。
一颗子弹从他头顶上呼啸而过。|A bullet whistled past his head.|yī kē zǐ dàn zòng tā tou dǐng shàng hū xiào ér guò。
那个年轻演员扮演哈姆雷特。|The young actor pretended to be Hamlet.|nèi gè nián qīng yǎn yuán bàn yǎn hǎ mǔ léi tè。
信号旗松散地从桅杆上垂下来|A pennant lolling from the mast.|xìn hào qí sōng san de zòng wéi gǎn shàng chuí xià lái
那个皇帝是个残酷的专制君主。|That emperor was a cruel despot.|nèi gè huáng dì shì gè cán kù de zhuān zhì jūn zhǔ。
他们希望税捐略微减少。|They are hoping for a small diminution in taxes.|tā men xī wàng shuì juān lu:è wēi jiǎn shǎo。
他在用笛子吹奏一首老曲子。|He was playing an old tune on his flute.|tā zài yòng dí zi chuī zòu yī shǒu lǎo qǔ zi。
把面粉和牛奶搅成很稠的糊.|Stir the flour and milk to a stiff paste.|bǎ miàn fěn huò niú nǎi jiǎo chéng hěn chóu de hù.
没有确定窃贼身分的线索.|There is no clue to the identity of the thief.|méi yǒu què dìng qiè zéi shēn fèn de xiàn suǒ.
他们埋葬了他们亲爱的战友。|They interred their dear comrade in the arms.|tā men mái zàng le tā men qīn ài de zhàn yǒu。
他因疏忽被解除了职务。|He was relieved of his post because of his carelessness.|tā yīn shū hū bèi jiě chú le zhí wù。
我决不接受贿赂, 一尘不染.|I wouldn't sully my hands by acceptinga bribe.|wǒ jué bù jiē shòu huì lù,  yī chén bù rǎn.
我在一次邮购诈欺中受骗了。|I got bitten in a mail order swindle.|wǒ zài yī cì yóu gòu zhà qī zhòng shòu piàn le。
庸俗，粗俗庸俗的品质或环境|The quality or condition of being vulgar.|yōng sú， cū sú yōng sú de pǐn zhì huò huán jìng
他坚定不移地信仰共产主义。|His belief of communism is immovable.|tā jiān dìng bù yí de xìn yǎng gòng chǎn zhǔ yì。
他们会晤了各行各业的人。|They interviewed people from all walks of life.|tā men huì wù le gè xìng gè yè de rén。
这种天气作帆船运动太危险.|The weather is too nasty for sailing.|zhè zhǒng tiān qì zuò fān chuán yùn dòng tài wēi xiǎn.
有人看见他在花园中徘徊。|He was seen hanging about in the garden.|yǒu rén kàn jiàn tā zài huā yuán zhòng pái huái。
最上面的抽屉是放刀叉的。|The top drawer is the one with the cutlery in.|zuì shàng mian de chōu ti shì fàng dāo chā de。
他挥霍无度, 难怪总欠债.|His extravagance explains why he is always in debt.|tā huī huò wú dù,  nán guài zǒng qiàn zhài.
士兵们以行军的步伐走了过去。|The soldiers went past on the march.|shì bīng men yǐ xíng jūn de bù fá zǒu le guò qu。
因停电所有的灯都熄灭了.|There was a power cut and all the lights went out.|yīn tíng diàn suǒ yǒu de dēng dōu xī miè le.
这种新型空调没有噪音。|This new style of air conditioner is noiseless.|zhè zhǒng xīn xíng kōng tiáo méi yǒu zào yīn。
那肖像是他最为珍贵的东西.|The portrait was his proudest possession.|nà xiào xiàng shì tā zuì wéi zhēn guì de dōng xi.
她对那笔开支相当苦恼.|She was not a little (ie very) worried about the expense.|tā duì nà bǐ kāi zhī xiāng dāng kǔ nǎo.
士兵们以行军的步伐走了过去。|The soldiers went past on the march.|shì bīng men yǐ xíng jūn de bù fá zǒu le guò qu。
法官听取了他们的忠诚誓言|The judge received their oath of allegiance.|fǎ guān tīng qǔ le tā men de zhōng chéng shì yán
他绝不像是会接受贿赂的人。|He is the last man to accept a bribe.|tā jué bù xiàng shì kuài jiē shòu huì lù de rén。
但愿我的建议能被采纳.|I'm crossing my fingers that my proposal will be accepted.|dàn yuàn wǒ de jiàn yì néng bèi cǎi nà.
乌云是下雨的明显前兆。|Black clouds are an unmistakable sign of coming rain.|wū yún shì xià yǔ de míng xiǎn qián zhào。
已经特别叮嘱过你不要吃鱼.|You were specifically warned not to eat fish.|yǐ jīng tè bié dīng zhǔ guò nǐ bù yào jí yú.
我们从1960年就合伙了.|Our partnership dates back to (ie We have been partners since) 1960.|wǒ men zò1ng960 nián jiù hé huǒ le.
堡垒最容易从内部攻破。|The easiest way to capture a fortress is from within.|bǎo lěi zuì róng yì zòng nèi bù gōng pò。
荣耀的事授予荣誉或声誉的事|Something conferring honor or renown.|róng yào de shì shòu yǔ róng yù huò shēng yú de shì
房子里弥漫著烤苹果的香味.|The smell of baked apples pervaded the house.|fáng zi lǐ mí màn著 kǎo píng guǒ de xiāng wèi.
再搀些白颜料使涂料浅些。|Mix some more white in to make the paint pal.|zài chān xiē bái yán liào shǐ tú liào qiǎn xiē。
为赶时髦她花费了不少钱。|She spend a lot of money to follow the fashion.|wèi gǎn shí máo tā huā fèi le bù shǎo qián。
这艘船在波涛中奋勇前进。|The ship buffeted through the big waves.|zhè sōu chuán zài bō tāo zhòng fèn yǒng qián jìn。
洞穴的最深处有只狗熊。|There is a bear in the inmost recesses of the cave.|dòng xuè de zuì shēn chù yǒu zhǐ gǒu xióng。
那只帆船正乘风笔直疾驶.|The yacht was scudding along before the wind.|nà zhǐ fān chuán zhèng chéng fēng bǐ zhí jí shǐ.
他腹部受到一击而直不起腰来。|A blow to the stomach made him curl up.|tā fù bù shòu dào yī jī ér zhí bù qǐ yāo lái。
大家对她的解释茫然不解.|Her explanations were met with blank incomprehension.|dà jiā duì tā de jiě shì máng rán bù jiě.
蜘蛛能用蜘蛛网抓住昆虫。|The spider can catch insects by cobweb.|zhī zhū néng yòng zhī zhū wǎng zhuā zhù kūn chóng。
谦逊的以一种谦卑或温顺的方式|In a meek or humble manner.|qiān xùn de yǐ yī zhòng qiān bēi huò wēn shùn de fāng shì
选民的态度有改变的趋向.|There is a wind of change in the attitude of voters.|xuǎn mín de tài du yǒu gǎi biàn de qū xiàng.
他的粗鲁的举止使每个人震惊。|His coarse manners shocked everyone.|tā de cū lǔ de jǔ zhǐ shǐ měi gè rén zhèn jīng。
反叛者阴谋想颠覆政府。|The conspirators want to overthrow the government.|fǎn pàn zhě yīn móu xiǎng diān fù zhèng fǔ。
房子里弥漫著烤苹果的香味.|The smell of baked apples pervaded the house.|fáng zi lǐ mí màn著 kǎo píng guǒ de xiāng wèi.
那个皇帝是个残酷的专制君主。|That emperor was a cruel despot.|nèi gè huáng dì shì gè cán kù de zhuān zhì jūn zhǔ。
轮船横着停泊在港口里。|The ship was anchored athwart at the harbor mouth.|lún chuán hèng zhuó tíng bó zài gǎng kǒu lǐ。
下议院凌晨三时仍在开会.|The House of Commons was still sitting at 3 am.|xià yì yuàn líng chén sān shí réng zài kāi huì.
他变换了无线电传送的频率。|He varied the transmission frequency.|tā biàn huàn le wú xiàn diàn chuán sòng de pín lu:4。
信用咨询使我们免除了忧虑|Credit counseling helped us get out from under.|xìn yòng zī xún shǐ wǒ men miǎn chú le yōu lu:4
他说话说快了就爱喷唾沫星.|He's inclined to spit when he talks quickly.|tā shuō huà shuō kuài le jiù ài pèn tuò mo xīng.
向人吐唾沫是非常粗暴无礼的。|It's very rude to spit at someone.|xiàng rén tù tuò mo shì fēi cháng cū bào wú lǐ de。
那人被驱逐出基督教会。|The man was excommunicated from the Christian Church.|nà rén bèi qū zhú chū Jī dū jiào kuài。
小学生往往很钦佩老师.|Schoolchildren often have/get crushes on teachers.|xiǎo xué shēng wǎng wǎng hěn qīn pèi lǎo shī.
有人奉承你时, 一定要当心。|Be on guard when somebody flatters you.|yǒu rén fèng chéng nǐ shí,  yī dìng yào dāng xīn。
美妙的音乐在我心中回荡。|The beautiful melody is lingering in my mind.|měi miào de yīn yuè zài wǒ xīn zhōng huí dàng。
农民们施肥来使土地肥沃。|The peasants fertilize the field by using manure.|nóng mín men shī féi lái shǐ tǔ dì féi wò。
我估计这将是一个炎热的夏天。|I reckon this will be a hot summer.|wǒ gū jì zhè jiàng shì yī gè yán rè de xià tiān。
玫瑰是遍生于世界各地的植物。|The rose is a cosmopolitan plant.|méi guī shì biàn shēng yú shì jiè gè dì de zhí wù。
这些艰苦的工作使我疲惫不堪。|I'm worn out by all this hard work.|zhè xie jiān kù de gōng zuò shǐ wǒ pí bèi bù kān。
在旧社会，贵族们生活奢侈。|In old society, the gentry lived in luxury.|zài jiù shè huì， guì zú men shēng huó shē chǐ。
美妙的音乐在我心中回荡。|The beautiful melody is lingering in my mind.|měi miào de yīn yuè zài wǒ xīn zhōng huí dàng。
那两只航天器衔接起来了。|The two space vehicles locked on to each other.|nà liǎng zhǐ háng tiān qì xián jiē qǐ lai le。
他把那小女孩诱惑得离开了家.|He enticed the young girl away from home.|tā bǎ nà xiǎo nu:3 hái yòu huò de lí kāi le jiā.
黄金和白银的起伏不定的价格|The fluctuating value of gold and silver.|huáng jīn huò bái yín de qǐ fú bù dìng de jià gé
对我们来说金钱是种诱惑物。|Money is a kind of allurement for us.|duì wǒ men lái shuō jīn qián shì zhòng yòu huò wù。
我一整天都在锄园子里的草。|I spent the whole day weeding in the garden.|wǒ yī zhěng tiān dōu zài chú yuán zi lǐ de cǎo。
他变换了无线电传送的频率。|He varied the transmission frequency.|tā biàn huàn le wú xiàn diàn chuán sòng de pín lu:4。
她在晚礼服上缀著一朵兰花.|She wore a single orchid on her evening dress.|tā zài wǎn lǐ fú shàng zhuì著 yī duǒ lán huā.
他总能和同事们和睦相处。|He can always get on well with his colleagues.|tā zǒng néng huò tóng shì men hé mù xiāng chǔ。
他的妙语引起一阵哄堂大笑。|His witty remark caused a storm of laughter.|tā de miào yù yǐn qǐ yī zhèn hòng táng dà xiào。
他穿着新西装，看上去很帅。|He looks very spruce in his new suit.|tā chuān zhuó xīn xī zhuāng， kàn shàng qù hěn shuài。
这种天气作帆船运动太危险.|The weather is too nasty for sailing.|zhè zhǒng tiān qì zuò fān chuán yùn dòng tài wēi xiǎn.
她坐在那儿捻弄手指上的戒指.|She sat twiddling the ring on her finger.|tā zuò zài nà r niǎn nòng shǒu zhǐ shàng de jiè zhi.
他无法说明他旷课的原因。|He could not account for his absence from school.|tā wú fǎ shuō míng tā kuàng kè de yuán yīn。
价格在5英镑与6英镑之间波动.|The price fluctuates between 5 and 6.|jià gé zài yīng bàng yù6 yīng bàng zhī jiān bō dòng.
他因对宗教的疑惧而十分烦恼。|He was troubled by religious doubt.|tā yīn duì zōng jiào de yí jù ér shí fēn fán nǎo。
晚9时把犯人锁进牢房过夜.|At 9 pm the prisoners are locked in for the night.|wǎn9 shí bǎ fàn rén suǒ jìn láo fáng guò yè.
我看到他正在给玫瑰修剪枝条。|I found him pruning his roses.|wǒ kàn dào tā zhèng zài jǐ méi guī xiū jiǎn zhī tiáo。
这个没有皮的木料得用砂纸磨光.|The bare wood must be sanded down.|zhè gè méi yǒu pí de mù liào de yòng shā zhǐ mò guāng.
他用笛子吹奏了欢快的曲调。|He played a delightful melody on his flute.|tā yòng dí zi chuī zòu le huān kuài de qǔ tiáo。
他总是贬低妻子的烹饪技术。|He's always running down his wife's cooking.|tā zǒng shì biǎn dī qī zi de pēng rèn jì shù。
那条狗在花园里刨出一根骨头.|The dog scratched up a bone in the garden.|nà tiáo gǒu zài huā yuán lǐ páo chū yī gēn gú tou.
他们发誓要向绑架者报仇.|They swore to take their revenge on the kidnappers.|tā men fā shì yào xiàng bǎng jià zhě bào chóu.
她行为古怪我感到莫名其妙.|I was puzzled by the oddity of her behaviour.|tā xíng wéi gǔ guài wǒ gǎn dào mò míng qí miào.
警方向群众呼吁不要惊慌.|The police appealed to the crowd not to panic.|jǐng fāng xiàng qún zhòng hū yù bù yào jīng huāng.
地方长官发布哀悼一日的命令.|The governor decreed a day of mourning.|dì fang zhǎng guān fā bù āi dào yī rì de mìng lìng.
政府拟推行私有化计画.|The government intends to go ahead with its privatization plans.|zhèng fǔ nǐ tuī xíng sī yǒu huà jì huà.
这房间里有搏斗过的痕迹.|The room bore evidence (ie showed signs) of a struggle.|zhè fáng jiān lǐ yǒu bó dòu guò de hén jī.
